"","Team","Rating","Conference"
"1","Calvin",14.5290448085355,"MIAA"
"2","Chicago",9.46979507295265,"UAA"
"3","Messiah",7.44840459209889,"MACC"
"4","Trinity (Texas)",7.35004308548088,"SCAC"
"5","Tufts",7.32470531511648,"NESCAC"
"6","Kenyon",7.31856747476506,"NCAC"
"7","Case Western Reserve",6.41914072508101,"UAA"
"8","Rochester",5.43929134417785,"UAA"
"9","St. Joseph's (Maine)",4.81492032933899,"GNAC"
"10","Connecticut College",4.59520342176341,"NESCAC"
"11","Cortland State",4.28370227291787,"SUNYAC"
"12","Amherst",4.27917266419215,"NESCAC"
"13","Montclair State",4.11082544320073,"NJAC"
"14","Carnegie Mellon",3.9251960915707,"UAA"
"15","Luther",3.74046707293977,"ARC"
"16","New York University",3.62933603953609,"UAA"
"17","Franklin and Marshall",3.40759144314962,"CC"
"18","Stevens",3.37362135270909,"E8"
"19","Eastern",3.37141339695326,"MACF"
"20","Brockport State",3.19849858943177,"SUNYAC"
"21","Mary Washington",3.16602632578538,"CAC"
"22","Johns Hopkins",3.10274767671136,"CC"
"23","North Park",3.09507518113136,"CCIW"
"24","Middlebury",3.08120268964001,"NESCAC"
"25","Williams",3.0433174518778,"NESCAC"
"26","St. Norbert",3.01814771201219,"MWC"
"27","St. Lawrence",2.97189361753038,"LL"
"28","St. Thomas",2.89389462970378,"MIAC"
"29","Oneonta State",2.83574941163586,"SUNYAC"
"30","Carleton",2.76825085665194,"MIAC"
"31","Haverford",2.72000214938348,"CC"
"32","UW-Platteville",2.67749782964215,"WIAC"
"33","Bowdoin",2.65285225545003,"NESCAC"
"34","Salve Regina",2.63568183751824,"CCC"
"35","Ithaca",2.60002234432847,"LL"
"36","Colby",2.58805247210701,"NESCAC"
"37","Babson",2.45888497603224,"NEWMAC"
"38","Washington and Lee",2.45747292284537,"ODAC"
"39","Hamilton",2.44353352352897,"NESCAC"
"40","Southwestern",2.42268645435787,"SCAC"
"41","Brandeis",2.40849867187903,"UAA"
"42","New Paltz State",2.35972297922531,"SUNYAC"
"43","Oglethorpe",2.35506135330633,"SAA"
"44","John Carroll",2.29441874760969,"OAC"
"45","Capital",2.28436979218433,"OAC"
"46","Ohio Wesleyan",2.27799005077102,"NCAC"
"47","Colorado College",2.24841643164043,"SCAC"
"48","Washington U.",2.22336905187397,"UAA"
"49","Springfield",2.17367969659835,"NEWMAC"
"50","Macalester",2.1730574286437,"MIAC"
"51","Rowan",2.16006260636475,"NJAC"
"52","St. Mary's (Md.)",2.10165899555897,"CAC"
"53","Western Connecticut",2.08937019138249,"LEC"
"54","Lycoming",2.0850485319577,"MACC"
"55","Ramapo",2.07164922718123,"NJAC"
"56","Emory",2.05522352495907,"UAA"
"57","RPI",2.03103851748378,"LL"
"58","Gordon",2.01051493149736,"CCC"
"59","Mount Union",1.99633352065536,"OAC"
"60","William Paterson",1.99045641354781,"NJAC"
"61","Rutgers-Camden",1.96808850594941,"NJAC"
"62","Mary Hardin-Baylor",1.95631533381001,"ASC"
"63","Hobart",1.92802492658558,"LL"
"64","UW-Superior",1.92108384355175,"UMAC"
"65","Texas Lutheran",1.91465592581627,"SCAC"
"66","Centre",1.88369243901549,"SAA"
"67","Claremont-Mudd-Scripps",1.86006030374254,"SCIAC"
"68","Augsburg",1.85750616412901,"MIAC"
"69","UW-Whitewater",1.85492937742947,"WIAC"
"70","Carthage",1.84477604842143,"CCIW"
"71","Dominican",1.83888130828711,"NACC"
"72","Lynchburg",1.81401231911853,"ODAC"
"73","WPI",1.81231976056327,"NEWMAC"
"74","Clark",1.79346060277672,"NEWMAC"
"75","Dickinson",1.72585896145586,"CC"
"76","Gustavus Adolphus",1.66618275320697,"MIAC"
"77","Texas-Tyler",1.66321258261502,"ASC"
"78","Ohio Northern",1.66078006243016,"OAC"
"79","Roger Williams",1.6462788761856,"CCC"
"80","York (Pa.)",1.6355547062756,"CAC"
"81","Western New England",1.63376961443876,"CCC"
"82","Benedictine",1.63134478661878,"NACC"
"83","Loras",1.614638822514,"ARC"
"84","Skidmore",1.6134562137513,"LL"
"85","Knox",1.59783177244994,"MWC"
"86","Drew",1.59592662364283,"LAND"
"87","Bates",1.56928798886537,"NESCAC"
"88","Endicott",1.56771666394098,"CCC"
"89","Hope",1.5318903686994,"MIAA"
"90","Wheaton (Mass.)",1.52335296930486,"NEWMAC"
"91","RIT",1.52163688937214,"LL"
"92","Salisbury",1.50114875251483,"CAC"
"93","Occidental",1.49611440381346,"SCIAC"
"94","Texas-Dallas",1.48536803611743,"ASC"
"95","Stevenson",1.44544040099432,"MACC"
"96","Penn State-Behrend",1.43588084127493,"AMCC"
"97","Simpson",1.41831571094069,"ARC"
"98","Wartburg",1.41072319225359,"ARC"
"99","Buffalo State",1.40510587299334,"SUNYAC"
"100","Clarkson",1.4048712023939,"LL"
"101","Grove City",1.37238209944906,"PrAC"
"102","Eastern Connecticut",1.35356679952599,"LEC"
"103","Redlands",1.34238970778119,"SCIAC"
"104","Vassar",1.32972585329859,"LL"
"105","Elizabethtown",1.28451046616077,"LAND"
"106","Wesleyan",1.28421131036585,"NESCAC"
"107","Plattsburgh State",1.25091781566623,"SUNYAC"
"108","Christopher Newport",1.24656124900921,"CAC"
"109","University of Dallas",1.22215678552241,"SCAC"
"110","Johnson and Wales",1.22002279617177,"GNAC"
"111","MIT",1.20598792320603,"NEWMAC"
"112","Swarthmore",1.20202024389493,"CC"
"113","Wheaton (Ill.)",1.20096474862309,"CCIW"
"114","TCNJ",1.15375642607141,"NJAC"
"115","Chapman",1.14456152216598,"SCIAC"
"116","Lebanon Valley",1.1362515047953,"MACC"
"117","Wabash",1.13261377612908,"NCAC"
"118","Concordia (Texas)",1.11064491422437,"ASC"
"119","Illinois Wesleyan",1.10521599585257,"CCIW"
"120","Frostburg State",1.09762841486502,"CAC"
"121","Rutgers-Newark",1.09078542577109,"NJAC"
"122","Millikin",1.08971878302888,"CCIW"
"123","Geneseo State",1.08015959176221,"SUNYAC"
"124","MSOE",1.07730385925406,"NACC"
"125","North Central (Ill.)",1.07409855480463,"CCIW"
"126","Pacific Lutheran",1.06364032925912,"NWC"
"127","Gettysburg",1.05487576667903,"CC"
"128","Denison",1.05122078916059,"NCAC"
"129","Keene State",1.04803650186883,"LEC"
"130","Penn State-Harrisburg",1.04122699749643,"CAC"
"131","Trine",1.03420567998333,"MIAA"
"132","Berry",1.03065568144064,"SAA"
"133","Catholic",1.02587769488244,"LAND"
"134","Stockton",1.02493952324429,"NJAC"
"135","DePauw",1.0115168049978,"NCAC"
"136","Muhlenberg",0.988991878695732,"CC"
"137","Whitman",0.98239764546078,"NWC"
"138","Marietta",0.981723053255769,"OAC"
"139","Adrian",0.965461773528477,"MIAA"
"140","Mass-Boston",0.964261604953494,"LEC"
"141","Willamette",0.961698385022729,"NWC"
"142","Washington College",0.959238891323296,"CC"
"143","Hamline",0.958062460553631,"MIAC"
"144","Westminster (Pa.)",0.946820043754612,"PrAC"
"145","Greensboro",0.915374693071417,"USAC"
"146","King's",0.914560333059727,"MACF"
"147","Covenant",0.900815391552265,"USAC"
"148","Bridgewater (Va.)",0.895392847756207,"ODAC"
"149","Bridgewater State",0.882873160367472,"MASCAC"
"150","Maryville (Tenn.)",0.870949158250788,"USAC"
"151","Wooster",0.86508234725481,"NCAC"
"152","St. John's",0.856373144104026,"MIAC"
"153","Salem State",0.852848813957399,"MASCAC"
"154","Nazareth",0.83709701495143,"E8"
"155","Wesley",0.834631182179709,"AEC"
"156","Austin",0.821528907355768,"SCAC"
"157","North Carolina Wesleyan",0.81630430096823,"USAC"
"158","Concordia (Wis.)",0.816254519924126,"NACC"
"159","Medaille",0.809487721508549,"AMCC"
"160","Alvernia",0.799472779164889,"MACC"
"161","Puget Sound",0.796618227802499,"NWC"
"162","Scranton",0.796528297660857,"LAND"
"163","St. Scholastica",0.784470959675236,"UMAC"
"164","Hanover",0.773370377379232,"HCAC"
"165","Cornell",0.770570308559547,"MWC"
"166","Norwich",0.768168640961188,"GNAC"
"167","Aurora",0.758128822926972,"NACC"
"168","McDaniel",0.756212172745091,"CC"
"169","Oswego State",0.751958774820122,"SUNYAC"
"170","University of the Ozarks",0.749728543361947,"ASC"
"171","Coast Guard",0.736192729709942,"NEWMAC"
"172","Castleton",0.732339203428394,"LEC"
"173","Framingham State",0.73104812655999,"MASCAC"
"174","Wittenberg",0.726448000967115,"NCAC"
"175","Otterbein",0.717006824275892,"OAC"
"176","Randolph-Macon",0.708182091736488,"ODAC"
"177","Geneva",0.697266746927124,"PrAC"
"178","Rhodes",0.687552635403712,"SAA"
"179","Thomas",0.683387088922458,"NAC"
"180","Lake Forest",0.681638086455928,"MWC"
"181","Cabrini",0.678104808762141,"AEC"
"182","Birmingham-Southern",0.673133702264925,"SAA"
"183","Thomas More",0.671398768527366,"ACAA"
"184","Neumann",0.66950229073363,"AEC"
"185","Staten Island",0.663401288740912,"CUNYAC"
"186","Manhattanville",0.663235059495687,"MACF"
"187","Union",0.654521713560513,"LL"
"188","Potsdam State",0.652112717553695,"SUNYAC"
"189","Nichols",0.636639288350849,"CCC"
"190","Roanoke",0.634552900309522,"ODAC"
"191","Rose-Hulman",0.627394799043999,"HCAC"
"192","Central",0.614279593999397,"ARC"
"193","Cairn",0.607628249731451,"CSAC"
"194","Heidelberg",0.606928636726616,"OAC"
"195","Trinity (Conn.)",0.606587660501171,"NESCAC"
"196","Hardin-Simmons",0.601607543497127,"ASC"
"197","Wilmington",0.598993712421181,"OAC"
"198","Albion",0.598673272761797,"MIAA"
"199","Keystone",0.596474349735062,"CSAC"
"200","St. Olaf",0.594745059744775,"MIAC"
"201","Merchant Marine",0.587423997489554,"SKY"
"202","Fredonia State",0.585663407131126,"SUNYAC"
"203","Johnson and Wales-Denver",0.584544293021633,"SCAC"
"204","Concordia-Moorhead",0.573103350228625,"MIAC"
"205","East Texas Baptist",0.568313666989264,"ASC"
"206","Arcadia",0.568016879756461,"MACC"
"207","Hood",0.559359200646628,"MACC"
"208","Newbury",0.55859266561938,"NECC"
"209","Pomona-Pitzer",0.558046396733728,"SCIAC"
"210","Emmanuel",0.55565506032744,"GNAC"
"211","Webster",0.536795061712691,"SLIAC"
"212","Dubuque",0.534395560332593,"ARC"
"213","Eastern Mennonite",0.531295014496531,"ODAC"
"214","Wentworth",0.522065574033692,"CCC"
"215","Transylvania",0.509047490349013,"HCAC"
"216","Baldwin Wallace",0.503852150072225,"OAC"
"217","Nebraska Wesleyan",0.502253350672069,"IIAC"
"218","Kalamazoo",0.500484092474476,"MIAA"
"219","Worcester State",0.500291142884311,"MASCAC"
"220","Moravian",0.493952614888607,"LAND"
"221","Penn State-Abington",0.491001878978161,"NEAC"
"222","Mount St. Mary",0.49056180969835,"SKY"
"223","Randolph",0.482124209269001,"ODAC"
"224","DeSales",0.472470220750592,"MACF"
"225","Susquehanna",0.470304388285104,"LAND"
"226","Spalding",0.469241106777985,"SLIAC"
"227","William Peace",0.468523162492327,"USAC"
"228","Houghton",0.466083985252169,"E8"
"229","Edgewood",0.457817769781125,"NACC"
"230","Sewanee",0.45233866326051,"SAA"
"231","Elmhurst",0.448548785856137,"CCIW"
"232","Whittier",0.447485460298016,"SCIAC"
"233","Mount Aloysius",0.445494806565657,"AMCC"
"234","Hampden-Sydney",0.444461752154303,"ODAC"
"235","Whitworth",0.440201461581324,"NWC"
"236","Lancaster Bible",0.429010714891298,"NEAC"
"237","Kean",0.427555481088347,"NJAC"
"238","La Verne",0.426673971480504,"SCIAC"
"239","Husson",0.425976411083894,"NAC"
"240","Saint Mary's (Minn.)",0.425770849106666,"MIAC"
"241","Widener",0.425334628679057,"MACC"
"242","Pacific",0.413207010542654,"NWC"
"243","Misericordia",0.408790808617075,"MACF"
"244","Principia",0.399519990089139,"SLIAC"
"245","Rhode Island College",0.397800700053745,"LEC"
"246","Fontbonne",0.391929484667645,"SLIAC"
"247","Linfield",0.390063421976935,"NWC"
"248","Ferrum",0.389254287407422,"ODAC"
"249","Greenville",0.388766086910882,"SLIAC"
"250","Pine Manor",0.388215442618003,"ACAA"
"251","Cal Lutheran",0.382379272744496,"SCIAC"
"252","Carroll",0.377992287929427,"CCIW"
"253","Pfeiffer",0.371652978139783,"USAC"
"254","Grinnell",0.369825439442271,"MWC"
"255","Allegheny",0.367115767783294,"NCAC"
"256","New England College",0.363040898447998,"NECC"
"257","Virginia Wesleyan",0.36050339476408,"ODAC"
"258","Colby-Sawyer",0.358991552975305,"GNAC"
"259","SUNY-Old Westbury",0.353354231895306,"SKY"
"260","Keuka",0.352388796593642,"NEAC"
"261","Hiram",0.349602305238355,"NCAC"
"262","Wilkes",0.349004085254205,"MACF"
"263","SUNY Delhi",0.340809607850933,"ACAA"
"264","SUNY-Maritime",0.340580386348111,"SKY"
"265","Bethany",0.340382374120764,"PrAC"
"266","Oberlin",0.338830624685411,"NCAC"
"267","Bethel",0.337040136095888,"MIAC"
"268","Emerson",0.333264238236681,"NEWMAC"
"269","McMurry",0.330414988602694,"ASC"
