"","Team","Rating","Conference"
"1","Amherst",6.01876211837619,"NESCAC"
"2","Trinity (Texas)",5.9491963944737,"SCAC"
"3","Messiah",5.58426926356023,"MACC"
"4","Chicago",5.0196880678742,"UAA"
"5","Mass-Boston",4.80261672481679,"LEC"
"6","Tufts",4.53825717540102,"NESCAC"
"7","Christopher Newport",4.06716050532168,"CAC"
"8","Oneonta State",4.02439442832143,"SUNYAC"
"9","Rowan",4.00218097428315,"NJAC"
"10","Redlands",3.9929483608457,"SCIAC"
"11","Rutgers-Newark",3.92555653140347,"NJAC"
"12","Springfield",3.63811123194908,"NEWMAC"
"13","Cortland State",3.50465843334832,"SUNYAC"
"14","Kenyon",3.45664130312736,"NCAC"
"15","Calvin",3.42090278812768,"MIAA"
"16","Franklin and Marshall",3.41675556508492,"CC"
"17","Bowdoin",3.24028877726803,"NESCAC"
"18","Montclair State",3.17112806538312,"NJAC"
"19","Haverford",3.14372545562414,"CC"
"20","Lynchburg",3.09831780479521,"ODAC"
"21","Ohio Northern",3.09263455357484,"OAC"
"22","Middlebury",3.08736015138705,"NESCAC"
"23","Hamilton",2.93385423941639,"NESCAC"
"24","Chapman",2.85712049181305,"SCIAC"
"25","Elizabethtown",2.82681113440511,"LAND"
"26","Williams",2.78345067964838,"NESCAC"
"27","Washington and Lee",2.7685912421531,"ODAC"
"28","Brandeis",2.76215419247925,"UAA"
"29","Maryville (Tenn.)",2.71283748842932,"USAC"
"30","Babson",2.6291787152157,"NEWMAC"
"31","Wheaton (Mass.)",2.49725283716635,"NEWMAC"
"32","Scranton",2.48977686247073,"LAND"
"33","Colorado College",2.42591953273181,"SCAC"
"34","Carnegie Mellon",2.41674433916029,"UAA"
"35","Gordon",2.32636243453471,"CCC"
"36","Connecticut College",2.30245321189625,"NESCAC"
"37","Lycoming",2.24303375345964,"MACC"
"38","John Carroll",2.16003721024744,"OAC"
"39","Rhode Island College",2.15801670707414,"LEC"
"40","Rutgers-Camden",2.15300466476787,"NJAC"
"41","La Verne",2.14990636961773,"SCIAC"
"42","Vassar",2.14682324004703,"LL"
"43","Johns Hopkins",2.14540860086932,"CC"
"44","Drew",2.12809943770865,"LAND"
"45","Washington U.",2.11448550714513,"UAA"
"46","Mary Washington",2.08918218734989,"CAC"
"47","Lebanon Valley",2.03793419930419,"MACC"
"48","Carthage",2.01111032886002,"CCIW"
"49","Eastern",1.99770048749484,"MACF"
"50","Texas-Dallas",1.98969667240676,"ASC"
"51","Kean",1.96843379765622,"NJAC"
"52","Penn State-Behrend",1.94261025134139,"AMCC"
"53","St. Thomas",1.9131563936953,"MIAC"
"54","Oberlin",1.90983032147736,"NCAC"
"55","Case Western Reserve",1.90666877840697,"UAA"
"56","UW-Whitewater",1.85926464772768,"WIAC"
"57","St. Lawrence",1.84819534917657,"LL"
"58","Clark",1.83007218825464,"NEWMAC"
"59","Gettysburg",1.82408889603195,"CC"
"60","TCNJ",1.81942415403352,"NJAC"
"61","Misericordia",1.79555146577292,"MACF"
"62","Benedictine",1.76895164501099,"NACC"
"63","Thomas",1.76616079980279,"NAC"
"64","Loras",1.75133783672268,"IIAC"
"65","Luther",1.74587665757415,"IIAC"
"66","DePauw",1.73246737223483,"NCAC"
"67","Hood",1.70502768546435,"MACC"
"68","Ohio Wesleyan",1.69844893456983,"NCAC"
"69","Dickinson",1.68410506112613,"CC"
"70","Whitworth",1.65798434556913,"NWC"
"71","Houghton",1.63266980830074,"E8"
"72","New Paltz State",1.6231595662382,"SUNYAC"
"73","Endicott",1.62054143238923,"CCC"
"74","Emory",1.60238706273488,"UAA"
"75","Wesleyan",1.57706560949386,"NESCAC"
"76","Wentworth",1.5719968215719,"CCC"
"77","York (Pa.)",1.57086888518766,"CAC"
"78","Buffalo State",1.56829345826659,"SUNYAC"
"79","Centre",1.56338766107255,"SAA"
"80","Ramapo",1.553771206452,"NJAC"
"81","St. Mary's (Md.)",1.55062178858966,"CAC"
"82","Plattsburgh State",1.54503363493097,"SUNYAC"
"83","Frostburg State",1.53407354185083,"CAC"
"84","Rochester",1.52472011417692,"UAA"
"85","Washington College",1.52361376329873,"CC"
"86","Macalester",1.51620902787796,"MIAC"
"87","Fredonia State",1.51404477152656,"SUNYAC"
"88","Cal Lutheran",1.50799334769288,"SCIAC"
"89","RPI",1.49712086771704,"LL"
"90","Grove City",1.49608507521074,"PrAC"
"91","North Carolina Wesleyan",1.49550486832507,"USAC"
"92","St. Norbert",1.48946899596525,"MWC"
"93","Pomona-Pitzer",1.45473904217088,"SCIAC"
"94","Mass-Dartmouth",1.44790987623538,"LEC"
"95","Randolph-Macon",1.4464579686784,"ODAC"
