"","Team","Rating","Conference"
"1","Amherst",5.90772188033477,"NESCAC"
"2","Messiah",5.44932522535696,"MACC"
"3","Tufts",5.16166955360686,"NESCAC"
"4","Chicago",4.99807468026196,"UAA"
"5","Mass-Boston",4.81427041476747,"LEC"
"6","Kenyon",4.5829036844818,"NCAC"
"7","Calvin",4.54947474193238,"MIAA"
"8","Redlands",4.29957518115006,"SCIAC"
"9","Trinity (Texas)",4.11872997479842,"SCAC"
"10","Rutgers-Newark",4.103955873112,"NJAC"
"11","Christopher Newport",4.01319733966752,"CAC"
"12","Rowan",3.83618928556089,"NJAC"
"13","Oneonta State",3.8010837134289,"SUNYAC"
"14","Springfield",3.66186209479069,"NEWMAC"
"15","Brandeis",3.50906911684794,"UAA"
"16","Ohio Northern",3.41310691412792,"OAC"
"17","Cortland State",3.3544935088199,"SUNYAC"
"18","Bowdoin",3.18188975461157,"NESCAC"
"19","Franklin and Marshall",3.14053068856494,"CC"
"20","Lynchburg",3.10523486101679,"ODAC"
"21","Montclair State",3.06377161088451,"NJAC"
"22","Middlebury",3.01594359815104,"NESCAC"
"23","Haverford",3.01154539231423,"CC"
"24","Hamilton",2.85970573607081,"NESCAC"
"25","Williams",2.73222663265064,"NESCAC"
"26","Elizabethtown",2.72336531091047,"LAND"
"27","Washington and Lee",2.72141722382974,"ODAC"
"28","Chapman",2.69595530420729,"SCIAC"
"29","Maryville (Tenn.)",2.66875820123883,"USAC"
"30","Babson",2.64544958961932,"NEWMAC"
"31","Lebanon Valley",2.63686085784995,"MACC"
"32","Carnegie Mellon",2.56467804338839,"UAA"
"33","Wheaton (Mass.)",2.52633759751976,"NEWMAC"
"34","St. Thomas",2.47464606574549,"MIAC"
"35","Scranton",2.40064906043758,"LAND"
"36","Gordon",2.3447402659901,"CCC"
"37","John Carroll",2.31818192887217,"OAC"
"38","Connecticut College",2.26894621112872,"NESCAC"
"39","Drew",2.24375104908641,"LAND"
"40","Washington U.",2.16440241518214,"UAA"
"41","Lycoming",2.15415848349785,"MACC"
"42","Rhode Island College",2.11264083055005,"LEC"
"43","Vassar",2.08318072612585,"LL"
"44","Carthage",2.07978684415632,"CCIW"
"45","Oberlin",2.07931337076996,"NCAC"
"46","Rutgers-Camden",2.07034828589924,"NJAC"
"47","La Verne",2.05926892883161,"SCIAC"
"48","Mary Washington",2.05573343293622,"CAC"
"49","Johns Hopkins",2.03497700718717,"CC"
"50","Case Western Reserve",2.02361337664797,"UAA"
"51","Penn State-Behrend",1.98828785153679,"AMCC"
"52","UW-Whitewater",1.95459580472781,"WIAC"
"53","Benedictine",1.93442150073905,"NACC"
"54","Eastern",1.91054250909233,"MACF"
"55","Ohio Wesleyan",1.90350888947008,"NCAC"
