"","Team","Rating","Conference"
"1","William Smith",21.0088453860663,"LL"
"2","Messiah",14.0035742779484,"MACC"
"3","Pomona-Pitzer",12.9437586814017,"SCIAC"
"4","TCNJ",11.7925488787972,"NJAC"
"5","Johns Hopkins",9.94402346257422,"CC"
"6","Hardin-Simmons",9.52205555324278,"ASC"
"7","Chicago",7.92568542904918,"UAA"
"8","Williams",7.88687794210433,"NESCAC"
"9","Amherst",7.6904289131974,"NESCAC"
"10","Thomas More",7.64132896371211,"PrAC"
"11","Brandeis",7.35600438043092,"UAA"
"12","Stevens",7.30086386502216,"E8"
"13","Washington U.",6.89659802408189,"UAA"
"14","McDaniel",6.2551915037932,"CC"
"15","Claremont-Mudd-Scripps",6.03076238448647,"SCIAC"
"16","Trinity (Texas)",5.65543793422418,"SCAC"
"17","Lynchburg",5.49661899361772,"ODAC"
"18","Scranton",5.41598482311363,"LAND"
"19","Middlebury",4.56415820703438,"NESCAC"
"20","Rowan",4.507631417811,"NJAC"
"21","Cal Lutheran",4.50182139683328,"SCIAC"
"22","Arcadia",4.49537894840857,"MACC"
"23","Misericordia",4.47767766165249,"MACF"
"24","Pacific Lutheran",4.46981208131629,"NWC"
"25","Trinity (Conn.)",4.40177591767329,"NESCAC"
"26","Wentworth",4.18195280380803,"CCC"
"27","New York University",3.97844901324943,"UAA"
"28","Centre",3.74212312403047,"SAA"
"29","Buffalo State",3.64449187708381,"SUNYAC"
"30","Geneseo State",3.57345857157561,"SUNYAC"
"31","Nazareth",3.40690069282085,"E8"
"32","Carnegie Mellon",3.40342305485528,"UAA"
"33","Swarthmore",3.16575402309337,"CC"
"34","Whittier",3.12203320085671,"SCIAC"
"35","Emory",3.04001504429753,"UAA"
"36","Montclair State",3.01012619491911,"NJAC"
"37","UW-Whitewater",2.9346288414923,"WIAC"
"38","RPI",2.92198490462602,"LL"
"39","Connecticut College",2.85461073578294,"NESCAC"
"40","Rochester",2.84961022612406,"UAA"
"41","Washington and Lee",2.7926101716905,"ODAC"
"42","Puget Sound",2.68739568678346,"NWC"
"43","Penn State-Berks",2.63008534794406,"NEAC"
"44","WPI",2.55743735421976,"NEWMAC"
"45","Grove City",2.48408857122541,"PrAC"
"46","MIT",2.46402482878355,"NEWMAC"
"47","Bowdoin",2.39961694523035,"NESCAC"
"48","Virginia Wesleyan",2.38146958754567,"ODAC"
"49","Chapman",2.37346378491562,"SCIAC"
"50","Western Connecticut",2.31986635417133,"LEC"
"51","Tufts",2.13158195878925,"NESCAC"
"52","Keene State",2.12784944342208,"LEC"
"53","Occidental",2.10191356018324,"SCIAC"
"54","Christopher Newport",2.0797702593182,"CAC"
"55","Haverford",1.99432277227604,"CC"
"56","St. Lawrence",1.98957104749703,"LL"
"57","Ursinus",1.96990877108031,"CC"
"58","Ohio Northern",1.95624185641426,"OAC"
"59","Springfield",1.94447542240918,"NEWMAC"
"60","Vassar",1.91970090430951,"LL"
"61","Wittenberg",1.91171751288158,"NCAC"
"62","Endicott",1.88883680457835,"CCC"
"63","Ithaca",1.86683887299127,"E8"
"64","Denison",1.84020928111022,"NCAC"
"65","Oneonta State",1.796909760032,"SUNYAC"
"66","Hanover",1.76902575434022,"HCAC"
"67","Hope",1.74296034422757,"MIAA"
"68","Penn State-Behrend",1.73912712909093,"AMCC"
"69","Farmingdale State",1.72296458878534,"SKY"
"70","St. Mary's (Md.)",1.69103696621763,"CAC"
"71","Stockton",1.65796467819333,"NJAC"
"72","Eastern Connecticut",1.61781978949351,"LEC"
"73","Illinois Wesleyan",1.60675509992631,"CCIW"
"74","Augsburg",1.54616830986781,"MIAC"
"75","Hartwick",1.52660987454199,"E8"
"76","Roanoke",1.49629986045939,"ODAC"
"77","Muhlenberg",1.48761771164191,"CC"
"78","Susquehanna",1.47338929265747,"LAND"
"79","Bridgewater (Va.)",1.45015777872492,"ODAC"
"80","Mary Hardin-Baylor",1.41508632046403,"ASC"
"81","Texas-Tyler",1.39570915095737,"ASC"
"82","St. Thomas",1.38231887272135,"MIAC"
"83","Gettysburg",1.36736464457942,"CC"
"84","Stevenson",1.36237344895714,"MACC"
"85","Babson",1.34367532159077,"NEWMAC"
"86","Baldwin Wallace",1.34110866098966,"OAC"
"87","Redlands",1.33633539886236,"SCIAC"
"88","Franklin",1.32615465874885,"HCAC"
"89","Wheaton (Ill.)",1.32498445964598,"CCIW"
"90","Wheaton (Mass.)",1.31750356830498,"NEWMAC"
"91","Washington and Jefferson",1.30070954078164,"PrAC"
"92","Linfield",1.27174922891563,"NWC"
"93","Lasell",1.2690750376556,"GNAC"
"94","Albright",1.25655097461343,"MACC"
"95","Whitworth",1.2159410912347,"NWC"
"96","Kalamazoo",1.21193837964669,"MIAA"
"97","Catholic",1.17913375202123,"LAND"
"98","Kean",1.1786390948376,"NJAC"
"99","Lebanon Valley",1.1671535040022,"MACC"
"100","Rhodes",1.13300954308954,"SAA"
"101","Willamette",1.13241819398335,"NWC"
"102","Mount Union",1.11483355564344,"OAC"
"103","Moravian",1.09773734241536,"LAND"
"104","Rochester Tech",1.09763008071934,"LL"
"105","Mary Washington",1.09624751228586,"CAC"
"106","Shenandoah",1.06340416334846,"ODAC"
"107","Case Western Reserve",1.05388009823689,"UAA"
"108","Union",1.01694400073403,"LL"
"109","Carroll",1.01249852013703,"CCIW"
"110","La Verne",0.98672895676005,"SCIAC"
"111","Frostburg State",0.980984649069253,"CAC"
"112","Luther",0.970640197727721,"IIAC"
"113","Dickinson",0.948783006273754,"CC"
"114","Oswego State",0.945410494558832,"SUNYAC"
"115","Whitman",0.931664070815457,"NWC"
"116","Lewis and Clark",0.917334663679004,"NWC"
"117","Pacific",0.916534653299264,"NWC"
"118","Southwestern",0.907884589169113,"SCAC"
"119","Roger Williams",0.903539559399642,"CCC"
"120","Franklin and Marshall",0.888496784242956,"CC"
"121","DePauw",0.883385273656914,"NCAC"
"122","John Carroll",0.874132702499076,"OAC"
"123","Cortland State",0.868213043679403,"SUNYAC"
"124","Skidmore",0.86798580478376,"LL"
"125","Plattsburgh State",0.863101723145766,"SUNYAC"
"126","Texas-Dallas",0.855971293108327,"ASC"
"127","Rutgers-Camden",0.833453018827846,"NJAC"
"128","William Paterson",0.826150692562344,"NJAC"
"129","University of New England",0.818094757712474,"CCC"
"130","Potsdam State",0.803552638118371,"SUNYAC"
"131","Brockport State",0.798712466361722,"SUNYAC"
"132","Berry",0.787224866850395,"SAA"
"133","Westfield State",0.769846140799087,"MASCAC"
"134","Capital",0.75705125408627,"OAC"
"135","Elms",0.727686514245481,"NECC"
"136","DeSales",0.719161164165454,"MACF"
"137","Albion",0.716163457652982,"MIAA"
"138","Salisbury",0.696607721231517,"CAC"
"139","Colby",0.694844365099374,"NESCAC"
"140","Salem",0.694696625455749,"GSAC"
"141","Loras",0.688775292392364,"IIAC"
"142","Wellesley",0.686860521120539,"NEWMAC"
"143","Calvin",0.670817806185339,"MIAA"
"144","FDU-Florham",0.668257945493512,"MACF"
"145","Alma",0.650089983541751,"MIAA"
"146","Houghton",0.645958342091424,"E8"
"147","Allegheny",0.638909085557888,"NCAC"
"148","UW-La Crosse",0.637637365404374,"WIAC"
"149","Lesley",0.636313822410717,"NECC"
"150","Wartburg",0.63098894975627,"IIAC"
"151","Eastern",0.623639536539739,"MACF"
"152","Sewanee",0.621579701397926,"SAA"
"153","Otterbein",0.612206429537868,"OAC"
"154","Hamilton",0.585116205274478,"NESCAC"
"155","Wesleyan",0.580890652801084,"NESCAC"
"156","Smith",0.574836503645325,"NEWMAC"
"157","Piedmont",0.564029777243352,"USAC"
"158","Johnson and Wales",0.559128016872411,"GNAC"
"159","Wilkes",0.557462958660977,"MACF"
"160","UW-Eau Claire",0.555791793184735,"WIAC"
"161","Elizabethtown",0.554653165697662,"LAND"
"162","Carthage",0.552328896464845,"CCIW"
"163","Framingham State",0.537684172696012,"MASCAC"
"164","Wooster",0.526564696211977,"NCAC"
"165","UW-Oshkosh",0.511014384078745,"WIAC"
"166","George Fox",0.495667275564777,"NWC"
"167","Bethel",0.481335630618049,"MIAC"
"168","Lancaster Bible",0.478257126719453,"NEAC"
"169","Mount St. Joseph",0.477486782159487,"HCAC"
"170","Saint Benedict",0.473034551223394,"MIAC"
"171","Castleton",0.472841229791453,"NAC"
"172","Clarkson",0.471180568521521,"LL"
"173","Emerson",0.470341784010751,"NEWMAC"
"174","Hamline",0.470119675395426,"MIAC"
"175","Chatham",0.467799154030653,"PrAC"
"176","Macalester",0.464078798407767,"MIAC"
"177","St. John Fisher",0.462425154254538,"E8"
"178","Central",0.461394221520576,"IIAC"
"179","St. Olaf",0.456421726469178,"MIAC"
"180","Clark",0.452874145572844,"NEWMAC"
"181","Knox",0.452330093989557,"MWC"
"182","Kenyon",0.450228765725828,"NCAC"
"183","Milwaukee Engineering",0.447784667746797,"NACC"
"184","Randolph-Macon",0.446101855566214,"ODAC"
"185","Alfred",0.441296045550846,"E8"
"186","Coast Guard",0.430718663463975,"NEWMAC"
"187","Bridgewater State",0.427126631185559,"MASCAC"
"188","Maine Maritime",0.417649996240067,"NAC"
"189","Bard",0.417618576349075,"LL"
"190","North Carolina Wesleyan",0.417045317902359,"USAC"
"191","York (Pa.)",0.416838013267912,"CAC"
"192","Covenant",0.403477984904167,"USAC"
"193","UC Santa Cruz",0.402511375254756,"IND"
"194","Rose-Hulman",0.401800696858139,"HCAC"
"195","Ferrum",0.400220789201311,"USAC"
"196","Westminster (Pa.)",0.395544117748864,"PrAC"
"197","St. Catherine",0.394755127130683,"MIAC"
"198","Wilmington",0.388296528185813,"OAC"
"199","Hendrix",0.382050367248603,"SAA"
"200","Lycoming",0.374813479304594,"MACC"
"201","Oberlin",0.36770677449523,"NCAC"
"202","Mount Holyoke",0.365806208314541,"NEWMAC"
"203","Goucher",0.364886434636589,"LAND"
"204","Schreiner",0.361995869003291,"SCAC"
"205","Methodist",0.358373011619657,"USAC"
"206","Gustavus Adolphus",0.35521742636758,"MIAC"
"207","Augustana",0.350995701372189,"CCIW"
"208","Simmons",0.348467577840777,"GNAC"
"209","Transylvania",0.343443660627399,"HCAC"
"210","UW-Stout",0.341100130549451,"WIAC"
"211","Plymouth State",0.335823386119724,"LEC"
"212","Adrian",0.330388508561211,"MIAA"
"213","Elmhurst",0.329401952629957,"CCIW"
"214","Worcester State",0.327162189885507,"MASCAC"
"215","King's",0.319502869490342,"MACF"
"216","Ohio Wesleyan",0.31883722954954,"NCAC"
"217","Bates",0.318711733707346,"NESCAC"
"218","Gordon",0.317398374335804,"CCC"
"219","Curry",0.316108320725533,"CCC"
