"","Team","Rating","Conference"
"1","Chicago",5.35397520350295,"UAA"
"2","Rutgers-Newark",4.77495922875455,"NJAC"
"3","Rowan",4.74433083009721,"NJAC"
"4","Amherst",4.32735260311074,"NESCAC"
"5","Trinity (Texas)",4.05519084528121,"SCAC"
"6","Redlands",4.0504097083443,"SCIAC"
"7","Mass-Boston",4.02520255130353,"LEC"
"8","Messiah",3.92655517798305,"MACC"
"9","Tufts",3.90876872001107,"NESCAC"
"10","Oneonta State",3.86135246386976,"SUNYAC"
"11","Christopher Newport",3.7561366287476,"CAC"
"12","Franklin and Marshall",3.43076817304946,"CC"
"13","Springfield",3.38749325267315,"NEWMAC"
"14","Maryville (Tenn.)",3.2926438031262,"USAC"
"15","Ohio Northern",3.13066721808682,"OAC"
"16","Chapman",3.12077663089773,"SCIAC"
"17","Williams",2.96659829528113,"NESCAC"
"18","Cortland State",2.8143907286044,"SUNYAC"
"19","Bowdoin",2.81164146864927,"NESCAC"
"20","Middlebury",2.81032895948323,"NESCAC"
"21","La Verne",2.81000912969096,"SCIAC"
"22","Montclair State",2.77850974798104,"NJAC"
"23","Babson",2.76768132953831,"NEWMAC"
"24","Elizabethtown",2.69798454209154,"LAND"
"25","Hamilton",2.66357499400158,"NESCAC"
"26","Lynchburg",2.6197865932248,"ODAC"
"27","Lycoming",2.5269829361729,"MACC"
"28","Rutgers-Camden",2.50960367896136,"NJAC"
"29","Kean",2.48825998752322,"NJAC"
"30","Connecticut College",2.45729728528584,"NESCAC"
"31","Haverford",2.38906875324721,"CC"
"32","Washington and Lee",2.37611525933215,"ODAC"
"33","Calvin",2.35542535444476,"MIAA"
"34","Lebanon Valley",2.35097133561897,"MACC"
"35","Gordon",2.33820379858232,"CCC"
"36","Brandeis",2.23776414197353,"UAA"
"37","Kenyon",2.21714262596419,"NCAC"
"38","Colorado College",2.20053253795296,"SCAC"
"39","TCNJ",2.14064590749771,"NJAC"
"40","Whitworth",2.13432659263417,"NWC"
"41","Pomona-Pitzer",2.12991410887536,"SCIAC"
"42","Clark",2.1201216522622,"NEWMAC"
"43","Mary Washington",2.09356226670561,"CAC"
"44","Johns Hopkins",2.06578979647259,"CC"
"45","Cal Lutheran",2.03838620449637,"SCIAC"
"46","Wheaton (Mass.)",1.99589927635194,"NEWMAC"
"47","Ramapo",1.98185996273316,"NJAC"
"48","Scranton",1.96874121573954,"LAND"
"49","Claremont-Mudd-Scripps",1.95239515703455,"SCIAC"
"50","Vassar",1.93537770050393,"LL"
"51","UW-Whitewater",1.93474957824265,"WIAC"
"52","Carthage",1.92741684827228,"CCIW"
"53","St. Lawrence",1.91801399048855,"LL"
"54","Occidental",1.87101942645029,"SCIAC"
"55","Texas-Dallas",1.87004305722292,"ASC"
"56","John Carroll",1.86998881497532,"OAC"
"57","New Paltz State",1.86113753717265,"SUNYAC"
"58","Emory",1.85634871081719,"UAA"
"59","Drew",1.84673362172317,"LAND"
"60","Loras",1.81706409679852,"IIAC"
"61","St. Mary's (Md.)",1.81445879990748,"CAC"
"62","Houghton",1.81200895764645,"E8"
"63","Rhode Island College",1.81172974190463,"LEC"
"64","Hood",1.78015110374526,"MACC"
"65","Thomas",1.77855987230687,"NAC"
"66","Penn State-Behrend",1.76952524385804,"AMCC"
"67","Gettysburg",1.76199554322503,"CC"
"68","Oberlin",1.75590071917176,"NCAC"
"69","Fredonia State",1.73591779511533,"SUNYAC"
"70","Case Western Reserve",1.73258193602132,"UAA"
"71","St. Thomas",1.73202210187125,"MIAC"
"72","Plattsburgh State",1.72339957823465,"SUNYAC"
"73","Washington U.",1.71264185475369,"UAA"
"74","Pacific Lutheran",1.71077756614592,"NWC"
"75","Ohio Wesleyan",1.70916598087904,"NCAC"
"76","Endicott",1.69946136997036,"CCC"
