"","Team","Rating","Conference"
"1","Chicago",5.05207032263885,"UAA"
"2","Amherst",4.91867285973319,"NESCAC"
"3","Rutgers-Newark",4.53562293352962,"NJAC"
"4","Rowan",4.49016724190529,"NJAC"
"5","Trinity (Texas)",4.44452954155886,"SCAC"
"6","Redlands",4.12670537788971,"SCIAC"
"7","Tufts",4.00526928714325,"NESCAC"
"8","Messiah",3.98461866090304,"MACC"
"9","Mass-Boston",3.82881274464,"LEC"
"10","Oneonta State",3.75764789742744,"SUNYAC"
"11","Springfield",3.48069882074457,"NEWMAC"
"12","Christopher Newport",3.44663298179549,"CAC"
"13","Maryville (Tenn.)",3.28339532527393,"USAC"
"14","Bowdoin",3.20174593980339,"NESCAC"
"15","Franklin and Marshall",3.19109018340998,"CC"
"16","Middlebury",3.18062133275349,"NESCAC"
"17","Chapman",3.07554256529621,"SCIAC"
"18","Williams",3.01632582405321,"NESCAC"
"19","Montclair State",2.98208688804988,"NJAC"
"20","Hamilton",2.91106136175003,"NESCAC"
"21","La Verne",2.8607896202517,"SCIAC"
"22","Babson",2.81798701396428,"NEWMAC"
"23","Ohio Northern",2.80559286367302,"OAC"
"24","Elizabethtown",2.71754755398652,"LAND"
"25","Cortland State",2.68253691053832,"SUNYAC"
"26","Brandeis",2.59170590860829,"UAA"
"27","Gordon",2.55270291331601,"CCC"
"28","Connecticut College",2.49100592004111,"NESCAC"
"29","Lycoming",2.48330262256501,"MACC"
"30","Washington and Lee",2.47006540340112,"ODAC"
"31","Lynchburg",2.44574926422704,"ODAC"
"32","Calvin",2.41704185729414,"MIAA"
"33","Haverford",2.40949079780898,"CC"
"34","Rutgers-Camden",2.39941553342028,"NJAC"
"35","Kean",2.37153802402634,"NJAC"
"36","Wheaton (Mass.)",2.33527010000192,"NEWMAC"
"37","Kenyon",2.24884505305397,"NCAC"
"38","Colorado College",2.16111521051714,"SCAC"
"39","Whitworth",2.15562838593544,"NWC"
"40","Mary Washington",2.11703586679042,"CAC"
"41","Lebanon Valley",2.10153213795282,"MACC"
"42","Johns Hopkins",2.09506982564306,"CC"
"43","Rhode Island College",2.09459279306714,"LEC"
"44","TCNJ",2.04757567894295,"NJAC"
"45","Scranton",2.007186309401,"LAND"
"46","Cal Lutheran",1.99245113588182,"SCIAC"
"47","Case Western Reserve",1.98923292699713,"UAA"
"48","Drew",1.98400799555479,"LAND"
"49","Carnegie Mellon",1.97095906470995,"UAA"
"50","Pomona-Pitzer",1.93319812429632,"SCIAC"
"51","Vassar",1.92142186128578,"LL"
"52","Hood",1.9070632138791,"MACC"
"53","Carthage",1.89784890698581,"CCIW"
"54","Gettysburg",1.89217194737392,"CC"
