"","Team","Rating","Conference"
"1","Christopher Newport",6.4965761840518,"CAC"
"2","Amherst",6.32077619387695,"NESCAC"
"3","Calvin",5.75989660558128,"MIAA"
"4","Johns Hopkins",5.62450451738282,"CC"
"5","Oneonta State",4.76108303269864,"SUNYAC"
"6","Franklin and Marshall",4.74502920626895,"CC"
"7","Tufts",4.33472675326829,"NESCAC"
"8","Messiah",4.06797887611934,"MACC"
"9","Connecticut College",4.03047050393363,"NESCAC"
"10","Oglethorpe",4.01833596059757,"SAA"
"11","Mary Washington",3.6718117095514,"CAC"
"12","Gettysburg",3.64119330126867,"CC"
"13","RPI",3.6298720182644,"LL"
"14","Catholic",3.60860702202073,"LAND"
"15","Covenant",3.50940199767015,"USAC"
"16","Roanoke",3.39327655962784,"ODAC"
"17","Eastern Connecticut",3.39152233234315,"LEC"
"18","Chicago",3.36695808457135,"UAA"
"19","Montclair State",3.34714936153334,"NJAC"
"20","Hobart",3.24976249118786,"LL"
"21","St. Mary's (Md.)",3.11409991213409,"CAC"
"22","Swarthmore",3.0883748403545,"CC"
"23","Ohio Wesleyan",3.06990649969277,"NCAC"
"24","Buffalo State",3.01822046699956,"SUNYAC"
"25","Washington and Lee",2.99027813260832,"ODAC"
"26","Centre",2.98735608248461,"SAA"
"27","Dickinson",2.9235809185334,"CC"
"28","Gustavus Adolphus",2.9170283334816,"MIAC"
"29","Middlebury",2.89555348310224,"NESCAC"
"30","Rutgers-Camden",2.81821938157907,"NJAC"
"31","Stockton",2.77909361875353,"NJAC"
"32","Haverford",2.75957773514409,"CC"
"33","Rowan",2.7505178791618,"NJAC"
"34","Babson",2.74160427508775,"NEWMAC"
"35","Luther",2.7137231329078,"ARC"
"36","Ithaca",2.70808947517618,"LL"
"37","Ramapo",2.70588530160955,"NJAC"
"38","Williams",2.67991829853466,"NESCAC"
"39","Loras",2.67381339604709,"ARC"
"40","North Park",2.63843953222423,"CCIW"
"41","Claremont-Mudd-Scripps",2.61693967253287,"SCIAC"
"42","WPI",2.5885792827943,"NEWMAC"
"43","Brandeis",2.57859800331681,"UAA"
"44","Salisbury",2.54955859723644,"CAC"
"45","Texas-Dallas",2.54807494305493,"ASC"
"46","Cortland State",2.53559104520005,"SUNYAC"
"47","Hardin-Simmons",2.52258694213431,"ASC"
"48","Muhlenberg",2.52098530636678,"CC"
"49","York (Pa.)",2.49200879389017,"CAC"
"50","Kenyon",2.43338390163158,"NCAC"
"51","Lynchburg",2.40524298781174,"ODAC"
"52","John Carroll",2.39323038294662,"OAC"
"53","TCNJ",2.34049644886229,"NJAC"
"54","Trinity (Texas)",2.30691465458602,"SCAC"
"55","St. Thomas",2.30242989979484,"MIAC"
"56","Bates",2.27525901044307,"NESCAC"
"57","Elizabethtown",2.19249732607603,"LAND"
"58","Scranton",2.14486900301337,"LAND"
"59","Kean",2.09223872764646,"NJAC"
"60","Lycoming",2.06739744939599,"MACC"
"61","Wheaton (Ill.)",2.05315891164665,"CCIW"
"62","Central",2.0505321613561,"ARC"
"63","McDaniel",2.04791793540797,"CC"
"64","Colorado College",2.02109078840243,"SCAC"
"65","Otterbein",2.00287627229576,"OAC"
"66","Stevens",1.9507270969442,"MACF"
"67","Pacific Lutheran",1.86170844757763,"NWC"
"68","Wesleyan",1.84388079103072,"NESCAC"
"69","Ohio Northern",1.83796046286766,"OAC"
"70","North Carolina Wesleyan",1.82317606393109,"USAC"
"71","Sewanee",1.81488889153491,"SAA"
"72","North Central (Ill.)",1.81384082355466,"CCIW"
"73","Penn State-Behrend",1.77229751650542,"AMCC"
"74","Brockport State",1.74794733971895,"SUNYAC"
"75","Carleton",1.73521522619691,"MIAC"
"76","Stevenson",1.73155519284281,"MACC"
"77","Plattsburgh State",1.71110802260389,"SUNYAC"
"78","Skidmore",1.7006774389221,"LL"
"79","Clarkson",1.68984251023362,"LL"
"80","Hope",1.68196001264444,"MIAA"
"81","Kalamazoo",1.67671272051492,"MIAA"
"82","William Paterson",1.66711647548015,"NJAC"
"83","Simpson",1.65764222164081,"ARC"
"84","King's",1.64009071620447,"MACF"
"85","Redlands",1.61922285045672,"SCIAC"
"86","Dominican",1.58516542518837,"NACC"
"87","Whitman",1.58476083264677,"NWC"
"88","Carthage",1.57219023733894,"CCIW"
"89","Emory",1.56420049517442,"UAA"
"90","Rutgers-Newark",1.56048417358506,"NJAC"
"91","Staten Island",1.55948349843243,"CUNYAC"
"92","Lebanon Valley",1.55124068673687,"MACC"
"93","St. Joseph's (Maine)",1.53165173210863,"GNAC"
"94","Oswego State",1.52290861766843,"SUNYAC"
"95","Illinois Wesleyan",1.51743349509583,"CCIW"
"96","Rochester",1.51436710542,"UAA"
"97","Knox",1.50825065100656,"MWC"
"98","Willamette",1.49800558804065,"NWC"
"99","Mass-Boston",1.48324512359186,"LEC"
"100","Texas Lutheran",1.4707014399557,"SCAC"
"101","St. Norbert",1.47009588599906,"MWC"
"102","Hampden-Sydney",1.45802383562142,"ODAC"
"103","Macalester",1.43972309006402,"MIAC"
"104","Arcadia",1.43680301312156,"MACC"
"105","New Paltz State",1.4257805226676,"SUNYAC"
"106","Mount Union",1.42069488676684,"OAC"
"107","UW-Whitewater",1.41260503502302,"WIAC"
"108","Bowdoin",1.39950167441169,"NESCAC"
"109","Endicott",1.37195689128992,"CCC"
"110","Whittier",1.37050785971811,"SCIAC"
"111","Hamilton",1.35924015772575,"NESCAC"
"112","New York University",1.35745931388031,"UAA"
"113","Carnegie Mellon",1.34376656601489,"UAA"
"114","Concordia (Texas)",1.33658830304829,"ASC"
"115","Washington U.",1.29103261266459,"UAA"
"116","Roger Williams",1.283986873621,"CCC"
"117","Clark",1.28249619406467,"NEWMAC"
"118","Rose-Hulman",1.27669725473186,"HCAC"
"119","Vassar",1.27100098691336,"LL"
"120","Western Connecticut",1.27086281800448,"LEC"
"121","Washington College",1.26511417127044,"CC"
"122","Keene State",1.25754790865382,"LEC"
"123","Berry",1.24785234665693,"SAA"
"124","Colby",1.22949607639637,"NESCAC"
"125","St. Lawrence",1.21197814025668,"LL"
"126","Case Western Reserve",1.1982168346166,"UAA"
"127","Maryville (Tenn.)",1.18860657701332,"USAC"
"128","Lake Forest",1.18066183383676,"MWC"
"129","Widener",1.17985780319622,"MACC"
"130","Greensboro",1.17887336053582,"USAC"
"131","UW-Superior",1.17706132570827,"UMAC"
"132","Salve Regina",1.16802628453963,"CCC"
"133","Misericordia",1.16410652064531,"MACF"
"134","Wartburg",1.15947429196736,"ARC"
"135","MIT",1.14361904858487,"NEWMAC"
"136","Union",1.14188413101592,"LL"
"137","Drew",1.12376584197542,"LAND"
"138","Capital",1.12077858584366,"OAC"
"139","Fredonia State",1.11942908257812,"SUNYAC"
"140","Wabash",1.11839850401418,"NCAC"
"141","Eastern",1.11796276976882,"MACF"
"142","Johnson and Wales",1.11583281421596,"GNAC"
"143","Elmhurst",1.10398458397907,"CCIW"
"144","Ursinus",1.10168605232674,"CC"
"145","Puget Sound",1.09649579402354,"NWC"
"146","Augsburg",1.09625751314226,"MIAC"
"147","Moravian",1.09505717859163,"LAND"
"148","Southwestern",1.09176903073229,"SCAC"
"149","Occidental",1.08556899782849,"SCIAC"
"150","Mary Hardin-Baylor",1.06954184803907,"ASC"
"151","Hanover",1.06497593840215,"HCAC"
"152","UW-Platteville",1.04244645153493,"WIAC"
"153","RIT",1.03990497541027,"LL"
"154","Baldwin Wallace",1.0377263930728,"OAC"
"155","Nazareth",1.03482365856102,"E8"
"156","Whitworth",1.01513955276571,"NWC"
"157","Susquehanna",1.01276729768751,"LAND"
"158","Wilkes",0.9996397064478,"MACF"
"159","Western New England",0.994691798680707,"CCC"
"160","Wheaton (Mass.)",0.988919013686741,"NEWMAC"
"161","Adrian",0.987973404074882,"MIAA"
"162","Wilmington",0.98476261399653,"OAC"
"163","Norwich",0.976586064260963,"GNAC"
"164","Manhattanville",0.94094853567283,"SKY"
"165","Alvernia",0.940005398380413,"MACC"
"166","Geneseo State",0.930278908705171,"SUNYAC"
"167","Virginia Wesleyan",0.903436194473357,"ODAC"
"168","Dubuque",0.894774680012377,"ARC"
"169","Spalding",0.893290986165688,"SLIAC"
"170","St. Thomas (Texas)",0.890198713577703,"SCAC"
"171","Penn State-Abington",0.873550207735803,"NEAC"
"172","Rhode Island College",0.866123003156607,"LEC"
