"","Team","Rating","Conference"
"1","Amherst",7.24688078433493,"NESCAC"
"2","Calvin",6.96900986250422,"MIAA"
"3","Johns Hopkins",6.85573090661288,"CC"
"4","Christopher Newport",6.70951303672112,"CAC"
"5","Washington and Lee",6.48647095535246,"ODAC"
"6","Mary Washington",5.6902364225777,"CAC"
"7","Roanoke",5.01843942753507,"ODAC"
"8","Franklin and Marshall",4.49207210337047,"CC"
"9","Connecticut College",4.4347878655861,"NESCAC"
"10","Middlebury",4.25615177523315,"NESCAC"
"11","Chicago",4.18123741138295,"UAA"
"12","Gettysburg",4.15547472248564,"CC"
"13","Catholic",4.12298249648184,"LAND"
"14","Covenant",4.10622451252728,"USAC"
"15","Messiah",3.97488536622006,"MACC"
"16","Ithaca",3.96187215794937,"LL"
"17","Oglethorpe",3.8608649337558,"SAA"
"18","Rowan",3.82561381912495,"NJAC"
"19","Haverford",3.81475037029063,"CC"
"20","Gustavus Adolphus",3.79971204137177,"MIAC"
"21","Claremont-Mudd-Scripps",3.67424005867984,"SCIAC"
"22","Central",3.58697232729585,"ARC"
"23","Tufts",3.56728008101653,"NESCAC"
"24","Ohio Wesleyan",3.4751109712682,"NCAC"
"25","Bates",3.46369481155209,"NESCAC"
"26","Loras",3.45199179743418,"ARC"
"27","Centre",3.41323812808382,"SAA"
"28","Oneonta State",3.22016474657427,"SUNYAC"
"29","Rutgers-Camden",3.17906346690933,"NJAC"
"30","RPI",3.12437207749392,"LL"
"31","St. Thomas",2.94354857174827,"MIAC"
"32","Stockton",2.92059003448565,"NJAC"
"33","TCNJ",2.88980334471425,"NJAC"
"34","Muhlenberg",2.84272992136378,"CC"
"35","St. Mary's (Md.)",2.68721860626848,"CAC"
"36","Lynchburg",2.67164256230996,"ODAC"
"37","Brandeis",2.64311511770393,"UAA"
"38","Wheaton (Ill.)",2.62328004158236,"CCIW"
"39","Hobart",2.62315707522113,"LL"
"40","Buffalo State",2.61955211523524,"SUNYAC"
"41","Montclair State",2.61849582498175,"NJAC"
"42","Washington U.",2.59722923422697,"UAA"
"43","Trinity (Texas)",2.59542519998274,"SCAC"
"44","Macalester",2.59238266206982,"MIAC"
"45","Stevenson",2.57023281623011,"MACC"
"46","Cortland State",2.5290847953881,"SUNYAC"
"47","Babson",2.50708421646987,"NEWMAC"
"48","Dickinson",2.50097839174514,"CC"
"49","Pacific Lutheran",2.49773527162674,"NWC"
"50","Swarthmore",2.45394551362779,"CC"
"51","Luther",2.42003383391729,"ARC"
"52","Williams",2.41694841715875,"NESCAC"
"53","North Park",2.35546064610256,"CCIW"
"54","Penn State-Behrend",2.2984210373868,"AMCC"
"55","St. Norbert",2.2849237008413,"MWC"
"56","Ramapo",2.17983139815083,"NJAC"
"57","Wesleyan",2.17962135939319,"NESCAC"
"58","Texas-Dallas",2.16126100904619,"ASC"
"59","North Central (Ill.)",2.13251842140798,"CCIW"
"60","Hardin-Simmons",2.12926411747923,"ASC"
"61","Berry",2.11338474896834,"SAA"
"62","Carleton",2.11012810348574,"MIAC"
"63","Salisbury",2.09001820892092,"CAC"
"64","Kenyon",2.02394972520225,"NCAC"
"65","Eastern Connecticut",2.00948464762683,"LEC"
"66","WPI",1.99893979274422,"NEWMAC"
"67","Kean",1.99255768874723,"NJAC"
"68","Simpson",1.98658304134206,"ARC"
"69","Bowdoin",1.92619961253289,"NESCAC"
"70","Ohio Northern",1.92010132637621,"OAC"
"71","Willamette",1.87896803951434,"NWC"
"72","Lycoming",1.8523989144256,"MACC"
"73","William Paterson",1.81830043819963,"NJAC"
"74","Emory",1.8164350226966,"UAA"
"75","Sewanee",1.80726966206891,"SAA"
"76","Augsburg",1.802944764597,"MIAC"
"77","New Paltz State",1.80048531591287,"SUNYAC"
"78","Knox",1.79445774188601,"MWC"
"79","Hamilton",1.74156827480482,"NESCAC"
"80","Carthage",1.71529979521943,"CCIW"
"81","Redlands",1.69943848077437,"SCIAC"
"82","Puget Sound",1.68556675616653,"NWC"
"83","John Carroll",1.68025448387683,"OAC"
"84","Staten Island",1.67560280288756,"CUNYAC"
"85","York (Pa.)",1.638120103344,"CAC"
"86","UW-Whitewater",1.5923887017924,"WIAC"
"87","Maryville (Tenn.)",1.5540007460622,"USAC"
"88","Hope",1.5358758903899,"MIAA"
"89","Oswego State",1.53053481540525,"SUNYAC"
"90","Scranton",1.52681929498858,"LAND"
"91","Lebanon Valley",1.5257464698037,"MACC"
"92","McDaniel",1.49192167011088,"CC"
"93","Kalamazoo",1.48527755582856,"MIAA"
"94","Union",1.4724161909457,"LL"
"95","Texas Lutheran",1.46802742274303,"SCAC"
"96","St. John's",1.44117072038898,"MIAC"
"97","Spalding",1.43815779844958,"SLIAC"
"98","Widener",1.43627751760425,"MACC"
"99","Whittier",1.4114814801925,"SCIAC"
"100","North Carolina Wesleyan",1.40758557942883,"USAC"
"101","Clarkson",1.39339017917816,"LL"
"102","Rochester",1.38433372338579,"UAA"
"103","Stevens",1.38150532853121,"MACF"
"104","King's",1.37787345002076,"MACF"
"105","Colorado College",1.3777902900316,"SCAC"
"106","Clark",1.36874678984405,"NEWMAC"
"107","Drew",1.36487577418552,"LAND"
"108","Moravian",1.35986430166004,"LAND"
"109","Otterbein",1.35956760367473,"OAC"
"110","Elmhurst",1.34709612157647,"CCIW"
"111","Elizabethtown",1.31843894688144,"LAND"
"112","MIT",1.29372231132406,"NEWMAC"
"113","Illinois Wesleyan",1.28980236543046,"CCIW"
"114","Western Connecticut",1.28686311236214,"LEC"
"115","Dominican",1.28152120335705,"NACC"
"116","Keene State",1.27144116520138,"LEC"
"117","Mount Union",1.26669938383297,"OAC"
"118","Brockport State",1.25467186591058,"SUNYAC"
"119","UW-Superior",1.21908164709256,"UMAC"
"120","Carnegie Mellon",1.21774559997705,"UAA"
"121","Whitman",1.21697381025551,"NWC"
"122","Rutgers-Newark",1.19806005093531,"NJAC"
"123","Skidmore",1.17210008154345,"LL"
"124","Wartburg",1.17034275155174,"ARC"
"125","Southwestern",1.16591178089285,"SCAC"
"126","Western New England",1.15754320367348,"CCC"
"127","Mass-Boston",1.14307825445519,"LEC"
"128","Johnson and Wales",1.13483456156314,"GNAC"
"129","Merchant Marine",1.12576683686903,"SKY"
"130","Plattsburgh State",1.11584772938944,"SUNYAC"
"131","Eastern",1.07942183968944,"MACF"
"132","Baldwin Wallace",1.06276141389235,"OAC"
"133","Lake Forest",1.0465074714224,"MWC"
"134","Norwich",1.04211056994868,"GNAC"
"135","Endicott",1.03281437070986,"CCC"
"136","Vassar",1.03016456236328,"LL"
"137","Hampden-Sydney",1.01036725681689,"ODAC"
"138","Whitworth",1.00474702758259,"NWC"
"139","Mary Hardin-Baylor",1.00424845224048,"ASC"
"140","Arcadia",1.00351546046588,"MACC"
"141","St. Joseph's (Maine)",0.939684689965617,"GNAC"
"142","Rose-Hulman",0.938827012296421,"HCAC"
"143","Hanover",0.937152979332725,"HCAC"
"144","St. Lawrence",0.934347887510062,"LL"
"145","Concordia (Texas)",0.931033867860205,"ASC"
"146","Wilkes",0.915128514817771,"MACF"
"147","Washington College",0.896091468242797,"CC"
"148","Case Western Reserve",0.893761019133069,"UAA"
"149","Rhode Island College",0.887715723162617,"LEC"
"150","UC Santa Cruz",0.887492196891478,"ACAA"
"151","Occidental",0.884843875059872,"SCIAC"
"152","Roger Williams",0.884303311560613,"CCC"
"153","Wheaton (Mass.)",0.883248753298609,"NEWMAC"
"154","Geneseo State",0.866935260683434,"SUNYAC"
"155","Penn State-Harrisburg",0.852943975018089,"NEAC"
"156","Webster",0.805667990166684,"SLIAC"
"157","Mount St. Mary",0.801575769130478,"SKY"
"158","Mount Aloysius",0.800240656834294,"AMCC"
"159","New York University",0.798619304227244,"UAA"
"160","UW-Platteville",0.79781606732058,"WIAC"
"161","Hood",0.786919616207154,"MACC"
"162","Denison",0.778248439179776,"NCAC"
"163","Capital",0.77817855419024,"OAC"
"164","Nazareth",0.775353746474791,"E8"
"165","Eastern Nazarene",0.774106576677567,"NECC"
"166","Coast Guard",0.770796414205861,"NEWMAC"
"167","Penn State-Abington",0.768569083029263,"NEAC"
"168","Alvernia",0.766497961512334,"MACC"
"169","Brevard",0.761787962885518,"USAC"
"170","Eastern Mennonite",0.760841380605555,"ODAC"
"171","Manhattanville",0.759178031868522,"SKY"
"172","Adrian",0.745436725870652,"MIAA"
"173","Guilford",0.730728946793873,"ODAC"
"174","Salve Regina",0.720084297019041,"CCC"
"175","Lehman",0.714420815127,"CUNYAC"
"176","DePauw",0.701678363613172,"NCAC"
"177","Birmingham-Southern",0.700828290257954,"SAA"
"178","Fredonia State",0.698992716670896,"SUNYAC"
"179","Colby",0.693340885112486,"NESCAC"
"180","RIT",0.69281052106613,"LL"
"181","Concordia-Moorhead",0.691627347304068,"MIAC"
"182","Greensboro",0.688617569931746,"USAC"
"183","William Peace",0.685095792775641,"USAC"
"184","Misericordia",0.668651834437265,"MACF"
"185","Lancaster Bible",0.663923531376405,"NEAC"
"186","SUNY-Cobleskill",0.657547886373367,"NEAC"
"187","University of the Ozarks",0.652147866298229,"ASC"
"188","Cal Lutheran",0.636250448063057,"SCIAC"
"189","Springfield",0.624830421885657,"NEWMAC"
"190","Wesley",0.622792866538624,"AEC"
"191","Centenary (La.)",0.621192692479068,"SCAC"
"192","Potsdam State",0.618453545425092,"SUNYAC"
"193","Cabrini",0.615585860556221,"AEC"
"194","Ursinus",0.615357949105604,"CC"
"195","New Jersey City",0.601730090638082,"NJAC"
"196","Randolph-Macon",0.600832171620851,"ODAC"
"197","LeTourneau",0.589441790295264,"ASC"
"198","Saint Mary's (Minn.)",0.57399573421484,"MIAC"
"199","St. Joseph (Conn.)",0.572066801622959,"GNAC"
"200","Nichols",0.567033231572465,"CCC"
"201","Millikin",0.563752828620377,"CCIW"
"202","FDU-Florham",0.556615277948057,"MACF"
"203","Belhaven",0.550242453597235,"ASC"
"204","Marietta",0.549068907941656,"OAC"
"205","Benedictine",0.547962784625414,"NACC"
"206","Immaculata",0.543584985378375,"AEC"
"207","Rhodes",0.543442036960453,"SAA"
"208","Wooster",0.538082836142001,"NCAC"
"209","Susquehanna",0.535364448950748,"LAND"
"210","St. Thomas (Texas)",0.533987473750249,"SCAC"
"211","Cairn",0.533977678651147,"CSAC"
"212","Sage",0.530351116894187,"E8"
"213","George Fox",0.52949133345981,"NWC"
"214","Alma",0.526872096258555,"MIAA"
"215","Dubuque",0.509758753598276,"ARC"
"216","Nebraska Wesleyan",0.507721534825199,"ARC"
"217","Defiance",0.504918940031819,"HCAC"
"218","La Verne",0.49549456520346,"SCIAC"
"219","Sul Ross State",0.493880255904195,"ASC"
"220","Wilmington",0.491732916869778,"OAC"
"221","Concordia (Wis.)",0.482820863758862,"NACC"
"222","Keystone",0.482597569395282,"CSAC"
"223","DeSales",0.481074193659318,"MACF"
"224","Geneva",0.472760962240459,"PrAC"
"225","Wabash",0.472113078757655,"NCAC"
"226","Juniata",0.470276703753733,"LAND"
"227","Aurora",0.468730125478162,"NACC"
"228","Randolph",0.465747441367417,"ODAC"
"229","Piedmont",0.463544067328789,"USAC"
"230","Transylvania",0.450884952888434,"HCAC"
"231","Neumann",0.441945658697826,"AEC"
"232","Chapman",0.440580359713466,"SCIAC"
"233","St. Scholastica",0.426183519067279,"UMAC"
"234","Baruch",0.42477803854636,"CUNYAC"
"235","Johnson and Wales-Denver",0.417687217273044,"SCAC"
"236","Pfeiffer",0.411427633437972,"USAC"
"237","Allegheny",0.398590018259345,"NCAC"
"238","Pine Manor",0.398057542170803,"ACAA"
"239","Utica",0.39312049983026,"E8"
"240","Virginia Wesleyan",0.392550112667661,"ODAC"
"241","Elmira",0.390341500342149,"E8"
"242","Hiram",0.385675388784601,"NCAC"
"243","Trinity (Conn.)",0.378605009672346,"NESCAC"
"244","Huntingdon",0.375998648002912,"USAC"
"245","Wentworth",0.371967209913409,"CCC"
"246","Southern Virginia",0.371438838765894,"CAC"
"247","Monmouth",0.36435953559705,"MWC"
"248","Mass-Dartmouth",0.364139574847747,"LEC"
"249","Grinnell",0.361881657138651,"MWC"
"250","Bethany Lutheran",0.360671116481457,"UMAC"
"251","Mary Baldwin",0.35787140573929,"USAC"
"252","Framingham State",0.355788986997117,"MASCAC"
"253","University of New England",0.355107190864852,"CCC"
"254","Averett",0.349640098887829,"USAC"
"255","St. Olaf",0.347610804062587,"MIAC"
"256","Methodist",0.344563135037062,"USAC"
"257","Bethel",0.343994123053274,"MIAC"
"258","Goucher",0.343684024295879,"LAND"
"259","Emmanuel",0.340341352401222,"GNAC"
"260","Bridgewater (Va.)",0.339452321093052,"ODAC"
"261","Albion",0.338418577812692,"MIAA"
"262","University of Dallas",0.329528799820933,"SCAC"
"263","Pomona-Pitzer",0.322988187303134,"SCIAC"
"264","Linfield",0.317666640239891,"NWC"
"265","Marymount",0.316826079723043,"AEC"
"266","East Texas Baptist",0.315820983050504,"ASC"
"267","Franciscan",0.312152313048177,"AMCC"
"268","Alfred",0.311038191073311,"E8"
"269","McMurry",0.309877972195585,"ASC"
"270","Edgewood",0.30421145754222,"NACC"
"271","SUNY Poly",0.301904490216192,"NEAC"
"272","Shenandoah",0.300982620887156,"ODAC"
"273","Oberlin",0.300904429025093,"NCAC"
"274","Salem State",0.296735975355117,"MASCAC"
"275","Gordon",0.293077982864714,"CCC"
"276","Hendrix",0.292496213512949,"SAA"
"277","SUNY-Old Westbury",0.292315710568468,"SKY"
"278","MSOE",0.291008330201795,"NACC"
"279","John Jay",0.289539952154255,"CUNYAC"
"280","Austin",0.284080545844701,"SCAC"
"281","Northwestern (Minn.)",0.275868593957585,"UMAC"
"282","Houghton",0.271272125445452,"E8"
"283","Westminster (Pa.)",0.26732618665156,"PrAC"
"284","Gwynedd-Mercy",0.265231488854852,"AEC"
"285","LaGrange",0.265030864075071,"USAC"
"286","Penn College",0.261955869957947,"NEAC"
"287","Howard Payne",0.255167384561173,"ASC"
"288","Medaille",0.253312450451506,"AMCC"
"289","Worcester State",0.252288403930551,"MASCAC"
"290","Morrisville State",0.245310952069413,"NEAC"
"291","Manchester",0.243995791929685,"HCAC"
"292","Hamline",0.241836706352543,"MIAC"
"293","Castleton",0.239995099230773,"LEC"
"294","Bridgewater State",0.239637197296087,"MASCAC"
"295","Grove City",0.236895018840742,"PrAC"
"296","Heidelberg",0.234896932273258,"OAC"
"297","Westminster (Mo.)",0.228553723379858,"SLIAC"
"298","Fontbonne",0.22854960934287,"SLIAC"
"299","Millsaps",0.227685837421469,"SAA"
