"","Team","Rating","Conference"
"1","Christopher Newport",6.43881241895442,"CAC"
"2","Johns Hopkins",6.34911090930872,"CC"
"3","Mary Washington",6.32239339134704,"CAC"
"4","Amherst",6.0275991169053,"NESCAC"
"5","Washington and Lee",5.59135993864301,"ODAC"
"6","Calvin",5.50537579167024,"MIAA"
"7","Franklin and Marshall",5.47169623253007,"CC"
"8","Oneonta State",4.4971031613928,"SUNYAC"
"9","Messiah",4.38265654766362,"MACC"
"10","Tufts",4.10822084818358,"NESCAC"
"11","Catholic",3.98455280712289,"LAND"
"12","Oglethorpe",3.95221085087214,"SAA"
"13","Roanoke",3.85350913739037,"ODAC"
"14","Connecticut College",3.60794504933816,"NESCAC"
"15","Gettysburg",3.57493470528931,"CC"
"16","Montclair State",3.4837608245794,"NJAC"
"17","Chicago",3.39683180086561,"UAA"
"18","RPI",3.36993776199523,"LL"
"19","Ohio Wesleyan",3.3088800201708,"NCAC"
"20","Haverford",3.14907541276471,"CC"
"21","Rowan",3.0956491625255,"NJAC"
"22","Kenyon",3.0341160339337,"NCAC"
"23","Luther",3.02607843733927,"ARC"
"24","Claremont-Mudd-Scripps",2.99535770254223,"SCIAC"
"25","Hobart",2.98731939218221,"LL"
"26","Covenant",2.97543949902529,"USAC"
"27","Eastern Connecticut",2.94816265760553,"LEC"
"28","Rutgers-Camden",2.90016234330715,"NJAC"
"29","Centre",2.86737434758256,"SAA"
"30","Gustavus Adolphus",2.80430336903475,"MIAC"
"31","St. Mary's (Md.)",2.79299495597038,"CAC"
"32","Ramapo",2.7891549031189,"NJAC"
"33","North Park",2.7825234295516,"CCIW"
"34","Swarthmore",2.76980333498339,"CC"
"35","Williams",2.76349254250774,"NESCAC"
"36","Middlebury",2.72719717554161,"NESCAC"
"37","Dickinson",2.71445386544545,"CC"
"38","Stockton",2.69736403161138,"NJAC"
"39","St. Thomas",2.6887322606199,"MIAC"
"40","Babson",2.68401146470949,"NEWMAC"
"41","Loras",2.68093998180339,"ARC"
"42","Buffalo State",2.62717991416943,"SUNYAC"
"43","Ithaca",2.59798011593501,"LL"
"44","John Carroll",2.53725262256566,"OAC"
"45","Texas-Dallas",2.51562441689968,"ASC"
"46","Salisbury",2.42750118148723,"CAC"
"47","Lynchburg",2.34657227187513,"ODAC"
"48","Muhlenberg",2.33454168875176,"CC"
"49","Lycoming",2.31096459068354,"MACC"
"50","Brandeis",2.2560654813737,"UAA"
"51","Cortland State",2.24544960409326,"SUNYAC"
"52","WPI",2.24229670599046,"NEWMAC"
"53","York (Pa.)",2.18626491517837,"CAC"
"54","Wheaton (Ill.)",2.16692101180608,"CCIW"
"55","Hardin-Simmons",2.16524189535264,"ASC"
"56","Redlands",2.10784756648775,"SCIAC"
"57","Trinity (Texas)",2.10065745101694,"SCAC"
"58","TCNJ",2.09781065431864,"NJAC"
"59","Colorado College",2.07782382442894,"SCAC"
"60","Elizabethtown",2.04918688436197,"LAND"
"61","Scranton",2.0059018674951,"LAND"
"62","Clarkson",1.94394805765125,"LL"
"63","Otterbein",1.93097651605176,"OAC"
"64","Kean",1.93050296829055,"NJAC"
"65","Pacific Lutheran",1.92181840683154,"NWC"
"66","Penn State-Behrend",1.89841370596029,"AMCC"
"67","Rochester",1.88668749001603,"UAA"
"68","Hope",1.87047590664244,"MIAA"
"69","North Central (Ill.)",1.85559839747998,"CCIW"
"70","McDaniel",1.82870015824592,"CC"
"71","King's",1.79957985550164,"MACF"
"72","North Carolina Wesleyan",1.79574281431533,"USAC"
"73","Bates",1.79283147413871,"NESCAC"
"74","Simpson",1.78827941709623,"ARC"
"75","Stevens",1.78708953577456,"MACF"
"76","UW-Whitewater",1.77297779332365,"WIAC"
"77","Plattsburgh State",1.75564618827574,"SUNYAC"
"78","Central",1.75299603293779,"ARC"
"79","Ohio Northern",1.7269187321924,"OAC"
"80","Texas Lutheran",1.72281742306004,"SCAC"
"81","Emory",1.6844455534664,"UAA"
"82","Wesleyan",1.66499926628946,"NESCAC"
"83","Hampden-Sydney",1.63148487393078,"ODAC"
"84","Washington U.",1.62660065956391,"UAA"
"85","Illinois Wesleyan",1.6210665995314,"CCIW"
"86","Kalamazoo",1.60207966022473,"MIAA"
"87","Brockport State",1.59635116214555,"SUNYAC"
"88","Macalester",1.59324377959057,"MIAC"
"89","Stevenson",1.58558495237752,"MACC"
"90","Carthage",1.55151857650324,"CCIW"
"91","St. Norbert",1.54930994813128,"MWC"
"92","Skidmore",1.53473175505087,"LL"
"93","Mount Union",1.53172128010663,"OAC"
"94","St. Joseph's (Maine)",1.52872603922604,"GNAC"
"95","Endicott",1.51709762048926,"CCC"
"96","Sewanee",1.49125359990613,"SAA"
"97","Dominican",1.47260718330898,"NACC"
"98","Knox",1.47095839151117,"MWC"
"99","Whitman",1.44511856353666,"NWC"
"100","Lebanon Valley",1.44052011765634,"MACC"
"101","Willamette",1.4336517214557,"NWC"
"102","Staten Island",1.41192216635703,"CUNYAC"
"103","Oswego State",1.40252367501296,"SUNYAC"
"104","Mass-Boston",1.40141912289572,"LEC"
"105","Mary Hardin-Baylor",1.37922961389658,"ASC"
"106","Rutgers-Newark",1.36614431436286,"NJAC"
"107","Concordia (Texas)",1.35413570306225,"ASC"
"108","UW-Superior",1.3482838060243,"UMAC"
"109","Rose-Hulman",1.33109011409497,"HCAC"
"110","William Paterson",1.3211550910681,"NJAC"
"111","Carleton",1.31728147614543,"MIAC"
"112","Wartburg",1.31507470433339,"ARC"
"113","Washington College",1.31101768172871,"CC"
"114","Vassar",1.30088115285169,"LL"
"115","Carnegie Mellon",1.27962720660407,"UAA"
"116","Case Western Reserve",1.27675268004853,"UAA"
"117","Western Connecticut",1.27493338427689,"LEC"
"118","Bowdoin",1.24927213843826,"NESCAC"
"119","Whittier",1.2430919419892,"SCIAC"
"120","Capital",1.23249824462609,"OAC"
"121","RIT",1.22296202704505,"LL"
"122","Arcadia",1.20967704695786,"MACC"
"123","Widener",1.19792886975401,"MACC"
"124","New Paltz State",1.19638565247347,"SUNYAC"
"125","New York University",1.19282048376618,"UAA"
"126","Drew",1.17844079301454,"LAND"
"127","Clark",1.17121410999605,"NEWMAC"
"128","Salve Regina",1.1699069659191,"CCC"
"129","Ursinus",1.16454306374863,"CC"
"130","Augsburg",1.15698606514771,"MIAC"
"131","Moravian",1.14806083007207,"LAND"
"132","Hanover",1.14139543019791,"HCAC"
"133","Occidental",1.13596013846686,"SCIAC"
"134","Eastern",1.13452374732395,"MACF"
"135","St. John's",1.13121754033504,"MIAC"
"136","Maryville (Tenn.)",1.13091476426754,"USAC"
"137","Lake Forest",1.12803053908043,"MWC"
"138","Johnson and Wales",1.12467144015084,"GNAC"
"139","Elmhurst",1.12386580329901,"CCIW"
"140","St. Lawrence",1.12067277203383,"LL"
"141","Wabash",1.11826946204222,"NCAC"
"142","Southwestern",1.11529272488621,"SCAC"
"143","UW-Platteville",1.11387329426714,"WIAC"
"144","Greensboro",1.11352692865746,"USAC"
"145","Berry",1.10926110509286,"SAA"
"146","Virginia Wesleyan",1.07790947246217,"ODAC"
"147","Misericordia",1.07284226680741,"MACF"
"148","Keene State",1.06345638089785,"LEC"
"149","Colby",1.0600415765151,"NESCAC"
"150","Hamilton",1.05716903724041,"NESCAC"
"151","Whitworth",1.04368727679639,"NWC"
"152","Union",1.02868108396366,"LL"
"153","Roger Williams",1.02799085127479,"CCC"
"154","Susquehanna",1.02579328399591,"LAND"
"155","Puget Sound",1.01730694523671,"NWC"
"156","Nazareth",1.01674687518255,"E8"
"157","Baldwin Wallace",1.01157299462562,"OAC"
"158","Marietta",1.00553525380317,"OAC"
"159","Wilkes",1.00001858147798,"MACF"
"160","Wheaton (Mass.)",0.996747760140401,"NEWMAC"
"161","St. Thomas (Texas)",0.992833781761896,"SCAC"
"162","Alvernia",0.985971518745316,"MACC"
"163","Penn State-Abington",0.978759270344489,"NEAC"
"164","Spalding",0.958718437221295,"SLIAC"
"165","Dubuque",0.956729154863636,"ARC"
"166","Fredonia State",0.940978578710141,"SUNYAC"
"167","Norwich",0.927008107486569,"GNAC"
"168","MIT",0.908178461608032,"NEWMAC"
"169","Denison",0.89662993556465,"NCAC"
"170","Adrian",0.894303298186771,"MIAA"
"171","UC Santa Cruz",0.887343007175217,"ACAA"
"172","Manhattanville",0.884805601796831,"SKY"
"173","Wilmington",0.884046731226349,"OAC"
"174","University of the Ozarks",0.867609765614205,"ASC"
"175","Western New England",0.858706825566749,"CCC"
"176","Concordia-Moorhead",0.851604708008338,"MIAC"
