"","Team","Rating","Conference"
"1","Messiah",16.3307022472021,"MACC"
"2","Pomona-Pitzer",11.7075145747025,"SCIAC"
"3","MIT",10.2206791101379,"NEWMAC"
"4","Centre",9.17301325970589,"SAA"
"5","Dickinson",8.98977159516534,"CC"
"6","Johns Hopkins",8.64759246333637,"CC"
"7","William Smith",7.88149058936229,"LL"
"8","TCNJ",7.4797694001892,"NJAC"
"9","Randolph-Macon",7.38543774670269,"ODAC"
"10","Arcadia",6.68544972376657,"MACC"
"11","Christopher Newport",6.60101720633381,"CAC"
"12","Amherst",5.88897923260175,"NESCAC"
"13","Cal Lutheran",5.78928534426118,"SCIAC"
"14","Haverford",5.60554814221206,"CC"
"15","Washington U.",5.48468135932333,"UAA"
"16","Gettysburg",5.42786732353202,"CC"
"17","Wheaton (Ill.)",5.42504580957704,"CCIW"
"18","Stevens",5.04051230918829,"MACF"
"19","Tufts",4.80465597923653,"NESCAC"
"20","Middlebury",4.70548169761628,"NESCAC"
"21","Salisbury",4.65406217662609,"CAC"
"22","Chapman",4.65256521255047,"SCIAC"
"23","Claremont-Mudd-Scripps",4.64727295415158,"SCIAC"
"24","Virginia Wesleyan",4.48923864437606,"ODAC"
"25","Swarthmore",4.28538940252777,"CC"
"26","Chicago",4.22947792455913,"UAA"
"27","McDaniel",4.21341365467456,"CC"
"28","Washington and Lee",4.08414589051418,"ODAC"
"29","Emory",3.93566792680663,"UAA"
"30","St. Thomas",3.3683259847882,"MIAC"
"31","Geneseo State",3.29676477275568,"SUNYAC"
"32","Trinity (Texas)",3.09462687013787,"SCAC"
"33","Misericordia",3.0490214933312,"MACF"
"34","Ohio Northern",2.93785727228413,"OAC"
"35","Scranton",2.92888381879479,"LAND"
"36","Otterbein",2.90011215131191,"OAC"
"37","Williams",2.88378082871171,"NESCAC"
"38","Case Western Reserve",2.87417482678028,"UAA"
"39","Hardin-Simmons",2.81085844411818,"ASC"
"40","Wartburg",2.77757199854612,"ARC"
"41","Pacific Lutheran",2.76829973536576,"NWC"
"42","Elizabethtown",2.65432806815645,"LAND"
"43","Roanoke",2.6001557167665,"ODAC"
"44","Bridgewater (Va.)",2.59033713022143,"ODAC"
"45","Carnegie Mellon",2.58674953442827,"UAA"
"46","Mary Washington",2.56583643727047,"CAC"
"47","Hamilton",2.55225044770807,"NESCAC"
"48","Rochester",2.50052683802185,"UAA"
"49","Lynchburg",2.47778372046288,"ODAC"
"50","Montclair State",2.39878634529434,"NJAC"
"51","Wesleyan",2.39266860174724,"NESCAC"
"52","Susquehanna",2.36104196035913,"LAND"
"53","Franklin and Marshall",2.3570832539876,"CC"
"54","Augsburg",2.30075211813113,"MIAC"
"55","WPI",2.27223668893133,"NEWMAC"
"56","Muhlenberg",2.26329557916256,"CC"
"57","RIT",2.25406486742625,"LL"
"58","Connecticut College",2.23855051781435,"NESCAC"
"59","St. Lawrence",2.23389297997644,"LL"
"60","Illinois Wesleyan",2.22764380937411,"CCIW"
"61","Stockton",2.16323174661636,"NJAC"
"62","Capital",2.11159877584099,"OAC"
"63","Puget Sound",2.08827140509983,"NWC"
"64","Occidental",2.05723424798305,"SCIAC"
"65","Vassar",1.98592953040331,"LL"
"66","New York University",1.9640166558252,"UAA"
"67","Brandeis",1.85145899460236,"UAA"
"68","Albright",1.84959078100352,"MACC"
"69","Cortland State",1.82228027814941,"SUNYAC"
"70","Penn State-Berks",1.81871243740159,"NEAC"
"71","Ithaca",1.76252031388753,"LL"
"72","UW-La Crosse",1.70483609673951,"WIAC"
"73","Redlands",1.70297305749624,"SCIAC"
"74","DeSales",1.70134500286394,"MACF"
"75","Bowdoin",1.69526915595742,"NESCAC"
"76","Washington College",1.6902583248329,"CC"
"77","York (Pa.)",1.66515817846702,"CAC"
"78","Shenandoah",1.66150849231881,"ODAC"
"79","Adrian",1.6051140969557,"MIAA"
"80","Union",1.58428641095893,"LL"
"81","UW-Whitewater",1.51523326989201,"WIAC"
"82","Catholic",1.51141204145347,"LAND"
"83","UW-Eau Claire",1.50132863936563,"WIAC"
"84","Concordia (Wis.)",1.50129153267636,"NACC"
"85","Wooster",1.47522790529491,"NCAC"
"86","Loras",1.4648382101894,"ARC"
"87","Farmingdale State",1.44901076424183,"SKY"
"88","Maryville (Tenn.)",1.4155700969166,"USAC"
"89","Denison",1.40602560981278,"NCAC"
"90","St. Catherine",1.38550429309923,"MIAC"
"91","Stevenson",1.36572987803942,"MACC"
"92","Texas-Dallas",1.36083409998688,"ASC"
"93","Bethel",1.34675463361339,"MIAC"
"94","DePauw",1.33608861276955,"NCAC"
"95","Wheaton (Mass.)",1.309538648844,"NEWMAC"
"96","Trinity (Conn.)",1.30338366115328,"NESCAC"
"97","Rowan",1.29060420447561,"NJAC"
"98","Saint Benedict",1.26435936526999,"MIAC"
"99","Carleton",1.25797543132076,"MIAC"
"100","RPI",1.24726582172309,"LL"
"101","Wittenberg",1.24499836334897,"NCAC"
"102","Hope",1.20864957152453,"MIAA"
"103","Emerson",1.20741722826304,"NEWMAC"
"104","UW-Stevens Point",1.1935574016351,"WIAC"
"105","Nazareth",1.18041787689844,"E8"
"106","Springfield",1.15794102303301,"NEWMAC"
